timestamp,episode_id,phase,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,ee_x,ee_y,ee_z,camera_motion,force_z,gripper,object_distance,success
0.000000,EP-001,approach,0.116280,0.209057,0.246167,0.229948,0.154086,0.039139,0.231176,-0.165489,0.484395,-0.000803,1.683355,1.000000,0.160000,True
0.020000,EP-001,approach,0.116278,0.208319,0.249410,0.228343,0.151462,0.039062,0.232331,-0.165441,0.484449,0.057427,2.233280,1.000000,0.160000,True
0.040000,EP-001,approach,0.116090,0.207082,0.247909,0.228313,0.151308,0.035074,0.233267,-0.164697,0.484627,0.059952,2.134866,1.000000,0.160000,True
0.060000,EP-001,approach,0.115015,0.210699,0.248980,0.227969,0.146795,0.037880,0.233963,-0.164261,0.484593,0.041699,2.550715,1.000000,0.160000,True
0.080000,EP-001,approach,0.117483,0.209583,0.248339,0.227801,0.146939,0.033625,0.234949,-0.164063,0.485087,0.056364,2.722387,1.000000,0.160000,True
0.100000,EP-001,approach,0.119332,0.211688,0.250616,0.226548,0.141822,0.033239,0.235865,-0.163151,0.484812,0.067083,2.412837,1.000000,0.160000,True
0.120000,EP-001,approach,0.121617,0.210307,0.250493,0.224173,0.144474,0.028261,0.236975,-0.162651,0.484855,0.061451,2.389190,1.000000,0.160000,True
0.140000,EP-001,approach,0.120733,0.212333,0.247023,0.223729,0.144468,0.028826,0.237819,-0.162644,0.484940,0.043036,2.398542,1.000000,0.160000,True
0.160000,EP-001,approach,0.123917,0.209955,0.249152,0.223497,0.141553,0.026353,0.238870,-0.161805,0.484950,0.067308,2.296069,1.000000,0.160000,True
0.180000,EP-001,approach,0.123429,0.213605,0.248301,0.221977,0.144051,0.026271,0.239402,-0.161629,0.484858,0.029304,2.112641,1.000000,0.160000,True
0.200000,EP-001,approach,0.123061,0.211353,0.246787,0.221071,0.137678,0.024349,0.240825,-0.161243,0.485198,0.076128,1.570462,1.000000,0.160000,True
0.220000,EP-001,approach,0.120943,0.214514,0.249726,0.223451,0.137253,0.018823,0.241473,-0.160581,0.485342,0.047221,2.574757,1.000000,0.160000,True
0.240000,EP-001,approach,0.124320,0.211027,0.248522,0.220657,0.134975,0.021254,0.242475,-0.160370,0.485202,0.050038,2.553477,1.000000,0.160000,True
0.260000,EP-001,approach,0.124792,0.215367,0.249381,0.221988,0.134194,0.015530,0.243222,-0.159962,0.485462,0.044050,2.423264,1.000000,0.160000,True
0.280000,EP-001,approach,0.127741,0.217148,0.252407,0.217253,0.132827,0.018032,0.244039,-0.159398,0.485395,0.049075,2.479448,1.000000,0.160000,True
0.300000,EP-001,approach,0.129404,0.217369,0.250639,0.217559,0.129909,0.014185,0.245002,-0.159057,0.485617,0.050435,2.749413,1.000000,0.160000,True
0.320000,EP-001,approach,0.131922,0.219020,0.250252,0.216186,0.129221,0.010714,0.245874,-0.158751,0.485746,0.047988,2.761944,1.000000,0.160000,True
0.340000,EP-001,approach,0.130746,0.216149,0.247920,0.215457,0.132271,0.011822,0.246518,-0.158739,0.485844,0.034045,2.581599,1.000000,0.160000,True
0.360000,EP-001,approach,0.129950,0.220709,0.246688,0.214804,0.127420,0.009068,0.247302,-0.158419,0.485922,0.043657,2.482130,1.000000,0.160000,True
0.380000,EP-001,approach,0.136134,0.221318,0.250265,0.214238,0.127727,0.005770,0.248184,-0.157678,0.485871,0.058192,2.752834,1.000000,0.160000,True
0.400000,EP-001,approach,0.133985,0.217612,0.247847,0.212954,0.123029,0.004402,0.248683,-0.157661,0.486148,0.030048,2.836261,1.000000,0.160000,True
0.420000,EP-001,approach,0.134031,0.218763,0.248275,0.215452,0.123297,0.004485,0.249295,-0.157185,0.486076,0.037261,3.266820,1.000000,0.160000,True
0.440000,EP-001,approach,0.134936,0.219632,0.247538,0.212938,0.122813,-0.000039,0.250265,-0.157064,0.486260,0.051041,2.396607,1.000000,0.160000,True
